url,itemName
"https://list.jd.com/list.html?cat=1713,4855,4859",少儿
"https://list.jd.com/list.html?cat=1713,4855,4858",商务投资
"https://list.jd.com/list.html?cat=1713,4855,4864",英语学习与考试
"https://list.jd.com/list.html?cat=1713,4855,4870",文学
"https://list.jd.com/list.html?cat=1713,4855,4857",传记
"https://list.jd.com/list.html?cat=1713,4855,4882",励志
"https://list.jd.com/list.html?cat=1713,3274&jth=i",哲学
"https://list.jd.com/list.html?cat=1713,3275&jth=i",国学
"https://list.jd.com/list.html?cat=1713,3280&jth=i",文化
"https://list.jd.com/list.html?cat=1713,3281&jth=i",社会科学
"https://list.jd.com/list.html?cat=1713,9278&jth=i",烹饪美食
"https://list.jd.com/list.html?cat=1713,9351&jth=i",电子通信
"https://list.jd.com/list.html?cat=1713,6929,6930",艺术/设计/收藏
"https://list.jd.com/list.html?cat=1713,3295,6954",经济管理
"https://list.jd.com/list.html?cat=1713,3296,6957",文化/学术
"https://list.jd.com/list.html?cat=1713,6929,9381",少儿
"https://list.jd.com/list.html?cat=1713,3296&jth=i",套装书
"https://list.jd.com/list.html?cat=9987,653,655",手机
"https://list.jd.com/list.html?cat=9987,653,659",对讲机
"https://list.jd.com/list.html?cat=9987,6880,6881",合约机
"https://list.jd.com/list.html?cat=9987,6880,12360",选号中心
"https://list.jd.com/list.html?cat=9987,6880,12428",装宽带
"https://list.jd.com/list.html?cat=9987,6880,1195",办套餐
"https://list.jd.com/list.html?cat=9987,830,13658",移动电源
"https://list.jd.com/list.html?cat=9987,830,860",电池/移动电源
"https://list.jd.com/list.html?cat=9987,830,863",蓝牙耳机
"https://list.jd.com/list.html?cat=9987,830,861",充电器/数据线
"https://list.jd.com/list.html?cat=9987,830,13659",苹果周边
"https://list.jd.com/list.html?cat=9987,830,862",手机耳机
"https://list.jd.com/list.html?cat=9987,830,867",手机贴膜
"https://list.jd.com/list.html?cat=9987,830,1099",手机存储卡
"https://list.jd.com/list.html?cat=9987,830,13660",充电器
"https://list.jd.com/list.html?cat=9987,830,13661",数据线
"https://list.jd.com/list.html?cat=9987,830,866",手机保护套
"https://list.jd.com/list.html?cat=9987,830,864",车载配件
"https://list.jd.com/list.html?cat=9987,830,5003",iPhone 配件
"https://list.jd.com/list.html?cat=9987,830,13657",手机电池
"https://list.jd.com/list.html?cat=9987,830,868",创意配件
"https://list.jd.com/list.html?cat=9987,830,11301",便携/无线音响
"https://list.jd.com/list.html?cat=9987,830,11302",手机饰品
"https://list.jd.com/list.html?cat=9987,830,12809",拍照配件
"https://list.jd.com/list.html?cat=9987,830,12811",手机支架
"https://list.jd.com/list.html?cat=737,794,798",平板电视
"https://list.jd.com/list.html?cat=737,794,870",空调
"https://list.jd.com/list.html?cat=737,794,878",冰箱
"https://list.jd.com/list.html?cat=737,794,880",洗衣机
"https://list.jd.com/list.html?cat=737,794,823",家庭影院
"https://list.jd.com/list.html?cat=737,794,965",DVD/电视盒子
"https://list.jd.com/list.html?cat=737,794,1199",迷你音响
"https://list.jd.com/list.html?cat=737,794,12392",冷柜/冰吧
"https://list.jd.com/list.html?cat=737,794,877",家电配件
"https://list.jd.com/list.html?cat=737,794,12524",功放
"https://list.jd.com/list.html?cat=737,794,12525",回音壁/Soundbar
"https://list.jd.com/list.html?cat=737,794,12526",Hi-Fi专区
"https://list.jd.com/list.html?cat=737,794,12527",电视盒子
"https://list.jd.com/list.html?cat=737,794,12401",酒柜
"https://list.jd.com/list.html?cat=737,13297,13298",燃气灶
"https://list.jd.com/list.html?cat=737,13297,1300",油烟机
"https://list.jd.com/list.html?cat=737,13297,1706",热水器
"https://list.jd.com/list.html?cat=737,13297,1301",消毒柜
"https://list.jd.com/list.html?cat=737,13297,13117",洗碗机
"https://list.jd.com/list.html?cat=737,752,755",料理机
"https://list.jd.com/list.html?cat=737,752,13116",榨汁机
"https://list.jd.com/list.html?cat=737,752,753",电饭煲
"https://list.jd.com/list.html?cat=737,752,881",电压力锅
"https://list.jd.com/list.html?cat=737,752,756",豆浆机
"https://list.jd.com/list.html?cat=737,752,761",咖啡机
"https://list.jd.com/list.html?cat=737,752,758",微波炉
"https://list.jd.com/list.html?cat=737,752,759",电烤箱
"https://list.jd.com/list.html?cat=737,752,757",电磁炉
"https://list.jd.com/list.html?cat=737,752,899",面包机
